used,stock,price,sleeps,length_inc,location
Used,2151804,72999,4,23.50,"Dothan, AL"
Used,2152116P,73999,4,23.50,"Rossford, OH"
Used,2191536,74799,3,25.00,"Strafford, MO"
Used,2161364P,71299,2,33.00,"Wood Village, OR"
Used,2129754,69999,3,24.75,"Strafford, MO"
Used,2160891,73399,5,24.83,"Dover, FL"
Used,2137467P,77999,4,23.50,"Jackson, MS"
Used,2078984,68999,2,38.75,"Nashville, TN"
Used,218487AA,66199,3,25.00,"Meridian, ID"
Used,2193644,69999,5,29.83,"Newport News, VA"
Used,2204010,65999,4,25.00,"Lubbock, TX"
Used,2160461,68399,3,39.75,"New River, AZ"
Used,2160460,65999,4,39.00,"New River, AZ"
Used,2161664,59999,4,37.50,"Nashville, TN"
Used,2178973,60499,2,25.00,"Center Conway, NH"
Used,2205021,58599,2,40.00,"New River, AZ"
Used,2182626P,53499,3,25.58,"Garner, NC"
Used,2183938,118999,5,24.58,"Alvarado, TX"
Used,2081356,53999,,35.00,"Katy, TX"
Used,2196067P,49999,4,0.00,"Anderson, CA"
Used,2205270,46999,,22.00,"Gulf Breeze, FL"
Used,2203932,124999,4,25.17,"Windham, ME"
Used,2195682P,124999,2,24.42,"Hamburg, NY"
Used,2192654P,124999,3,26.00,"Albuquerque, NM"
Used,3000165P,123999,4,25.83,"Georgetown, KY"
Used,2198040,123999,2,24.33,"Owatonna, MN"
Used,2189958,124999,5,25.17,"Jacksonville, FL"
Used,2199257,123999,4,25.17,"Owatonna, MN"
Used,10327P,125498,5,25.17,"Fountain, CO"
Used,2203674P,121899,4,24.83,"Fresno, CA"
Used,2179063,121999,4,24.58,"Oakwood, GA"
Used,2203628,120999,5,24.92,"Tulsa, OK"
Used,2185045,121999,5,25.17,"Jackson, MS"
Used,2071020,119999,6,0.00,"Oklahoma City, OK"
Used,2193826,119995,5,25.67,"Las Vegas, NV"
Used,1000636PA,119999,4,25.42,"New Braunfels, TX"
Used,2177631,119995,2,24.33,"Nashville, TN"
Used,1536WRP,121498,5,24.58,"Wheat Ridge, CO"
Used,2195518,118999,6,24.67,"Draper, UT"
Used,2208448,120999,1,24.08,"St. Augustine, FL"
