used,stock,price,sleeps,length_inc,location,horsepower
Used,2137467P,77999,4,23.50,"Jackson, MS",185
Used,2160891,73399,5,24.83,"Dover, FL",188
Used,2191536,74799,3,25.00,"Strafford, MO",
Used,2152116P,73999,4,23.50,"Rossford, OH",185
Used,2161364P,71299,2,33.00,"Wood Village, OR",
Used,2151804,72999,4,23.50,"Dothan, AL",185
Used,2129754,69999,3,24.75,"Strafford, MO",154
Used,2160460,65999,4,39.00,"New River, AZ",
Used,2193644,69999,5,29.83,"Newport News, VA",156
Used,218487AA,66199,3,25.00,"Meridian, ID",Mercedes-Benz Sprinter
Used,2078984,68999,2,38.75,"Nashville, TN",
Used,2160461,68399,3,39.75,"New River, AZ",
Used,2204010,65999,4,25.00,"Lubbock, TX",Dodge Sprinter
Used,2161664,59999,4,37.50,"Nashville, TN",
Used,2178973,60499,2,25.00,"Center Conway, NH",154
Used,2204853P,168999,5,25.67,"Churchville, NY",188
Used,2196067P,49999,4,0.00,"Anderson, CA",
Used,2205021,58599,2,40.00,"New River, AZ",
Used,2182626P,53499,3,25.58,"Garner, NC",
Used,2168943,183999,7,36.83,"Gulf Breeze, FL",330
Used,2166503Z,180999,6,36.83,"Idaho Falls, ID",330
Used,2147043,180999,6,33.50,"Akron, OH",
Used,2195980,180999,7,38.08,"Fort Myers, FL",340
Used,2159289,179995,6,33.50,"Wichita, KS",
New,1995329,179995,3,6,"Las Vegas, NV",International Cummins ISB
New,1995631,176395,1,7,"Pasco, WA",Ford F-550
Used,2150491A,174999,8,35.92,"Katy, TX",300
Used,2182304,174999,9,36.75,"Apollo, PA",340
Used,2177073P,175999,4,41.25,"Akron, OH",380
Used,2148397,173999,2,38.83,"Chattanooga, TN",
Used,2144751,172999,6,33.50,"Uxbridge, MA",Tiffin PowerGlide
Used,2206842,171999,2,24.42,"Ridgeland, SC",Mercedes-Benz Sprinter
Used,2158142,171999,4,41.00,"Las Vegas, NV",360
Used,2204926P,169999,5,40.42,"Bowling Green, KY",
Used,2206600,171999,3,41.33,"Grain Valley, MO",Freightliner XCM
Used,2156559,169995,8,37.58,"Akron, OH",300
Used,P11919,168999,2,24.50,"Ashland, VA",Mercedes-Benz Sprinter
